"Sim_N","Day","AVG_SF_per_Day"
1060793120361778432,1,4.78
1060793120361778432,2,4.97
1060793120361778432,3,5
1060793120361778432,4,4.33
1060793120361778432,5,4.98
1060793120361778432,6,4.94
1060793120361778432,7,4.94
1060793120361778432,8,4.97
1060793120361778432,9,3.95
1060793120361778432,10,5
1060793120361778432,11,5
1060793120361778432,12,4.99
1060793120361778432,13,4.59
1060793120361778432,14,4.68
1060793120361778432,15,4.91
1126829525916697856,1,5
1126829525916697856,2,4.81
1126829525916697856,3,4.68
1126829525916697856,4,4.91
1126829525916697856,5,4.21
1126829525916697856,6,4.76
1126829525916697856,7,4.94
1126829525916697856,8,4.98
1126829525916697856,9,5
1126829525916697856,10,5
1126829525916697856,11,4.87
1126829525916697856,12,4.99
1126829525916697856,13,4.98
1126829525916697856,14,5
1126829525916697856,15,5
1257104329626682880,1,4.56
1257104329626682880,2,5
1257104329626682880,3,5
1257104329626682880,4,5
1257104329626682880,5,4.98
1257104329626682880,6,4.98
1257104329626682880,7,5
1257104329626682880,8,4.15
1257104329626682880,9,3.37
1257104329626682880,10,4.35
1257104329626682880,11,4.79
1257104329626682880,12,4.97
1257104329626682880,13,4.99
1257104329626682880,14,4.96
1257104329626682880,15,4.72
1409609853233345280,1,5
1409609853233345280,2,5
1409609853233345280,3,5
1409609853233345280,4,5
1409609853233345280,5,5
1409609853233345280,6,4.99
1409609853233345280,7,4.58
1409609853233345280,8,4.97
1409609853233345280,9,4.8
1409609853233345280,10,3.91
1409609853233345280,11,3.45
1409609853233345280,12,3.77
1409609853233345280,13,4.78
1409609853233345280,14,5
1409609853233345280,15,4.91
1456405147088293888,1,5
1456405147088293888,2,4.99
1456405147088293888,3,5
1456405147088293888,4,5
1456405147088293888,5,5
1456405147088293888,6,3.91
1456405147088293888,7,4
1456405147088293888,8,4.95
1456405147088293888,9,4.88
1456405147088293888,10,4.79
1456405147088293888,11,5
1456405147088293888,12,5
1456405147088293888,13,4.99
1456405147088293888,14,4.53
1456405147088293888,15,5
1514040676738803456,1,5
1514040676738803456,2,5
1514040676738803456,3,4.99
1514040676738803456,4,4.89
1514040676738803456,5,5
1514040676738803456,6,4.85
1514040676738803456,7,4.86
1514040676738803456,8,4.98
1514040676738803456,9,5
1514040676738803456,10,5
1514040676738803456,11,4.79
1514040676738803456,12,5
1514040676738803456,13,5
1514040676738803456,14,5
1514040676738803456,15,4.96
1553638532078927360,1,4.97
1553638532078927360,2,4.33
1553638532078927360,3,4.84
1553638532078927360,4,5
1553638532078927360,5,4.88
1553638532078927360,6,4.61
1553638532078927360,7,4.86
1553638532078927360,8,4.93
1553638532078927360,9,5
1553638532078927360,10,5
1553638532078927360,11,4.95
1553638532078927360,12,5
1553638532078927360,13,5
1553638532078927360,14,5
1553638532078927360,15,4.97
1686718091743290624,1,5
1686718091743290624,2,4.4
1686718091743290624,3,5
1686718091743290624,4,4.98
1686718091743290624,5,5
1686718091743290624,6,4.94
1686718091743290624,7,5
1686718091743290624,8,5
1686718091743290624,9,4.85
1686718091743290624,10,4.91
1686718091743290624,11,4.94
1686718091743290624,12,4.97
1686718091743290624,13,4.43
1686718091743290624,14,4.69
1686718091743290624,15,4.89
1758649989027101440,1,5
1758649989027101440,2,4.95
1758649989027101440,3,4.81
1758649989027101440,4,4.85
1758649989027101440,5,4.87
1758649989027101440,6,5
1758649989027101440,7,5
1758649989027101440,8,4.95
1758649989027101440,9,4.98
1758649989027101440,10,5
1758649989027101440,11,5
1758649989027101440,12,5
1758649989027101440,13,4.78
1758649989027101440,14,4.43
1758649989027101440,15,5
1770625253327027712,1,5
1770625253327027712,2,5
1770625253327027712,3,5
1770625253327027712,4,4.33
1770625253327027712,5,4.83
1770625253327027712,6,4.03
1770625253327027712,7,4.93
1770625253327027712,8,5
1770625253327027712,9,4.99
1770625253327027712,10,4.06
1770625253327027712,11,3.12
1770625253327027712,12,4.38
1770625253327027712,13,4.89
1770625253327027712,14,5
1770625253327027712,15,4.78
179076398074618272,1,5
179076398074618272,2,5
179076398074618272,3,4.58
179076398074618272,4,4.94
179076398074618272,5,4.98
179076398074618272,6,4.98
179076398074618272,7,5
179076398074618272,8,5
179076398074618272,9,5
179076398074618272,10,4.94
179076398074618272,11,4.8
179076398074618272,12,5
179076398074618272,13,5
179076398074618272,14,4.24
179076398074618272,15,4.75
1945058158876158464,1,4.16
1945058158876158464,2,4.63
1945058158876158464,3,5
1945058158876158464,4,5
1945058158876158464,5,4.39
1945058158876158464,6,5
1945058158876158464,7,4.97
1945058158876158464,8,4.92
1945058158876158464,9,5
1945058158876158464,10,5
1945058158876158464,11,5
1945058158876158464,12,4.88
1945058158876158464,13,5
1945058158876158464,14,4.19
1945058158876158464,15,4.98
1965035061224435200,1,5
1965035061224435200,2,4.87
1965035061224435200,3,4.6
1965035061224435200,4,4.95
1965035061224435200,5,5
1965035061224435200,6,4.78
1965035061224435200,7,4.78
1965035061224435200,8,4.37
1965035061224435200,9,4.98
1965035061224435200,10,4.97
1965035061224435200,11,5
1965035061224435200,12,4.91
1965035061224435200,13,4.67
1965035061224435200,14,4.23
1965035061224435200,15,4.68
1983595577495322112,1,5
1983595577495322112,2,4.43
1983595577495322112,3,3.64
1983595577495322112,4,4.83
1983595577495322112,5,4.63
1983595577495322112,6,4.79
1983595577495322112,7,4.94
1983595577495322112,8,5
1983595577495322112,9,4.28
1983595577495322112,10,4
1983595577495322112,11,4.91
1983595577495322112,12,4.96
1983595577495322112,13,4.92
1983595577495322112,14,5
1983595577495322112,15,4.95
2039453637508596480,1,5
2039453637508596480,2,5
2039453637508596480,3,4.85
2039453637508596480,4,5
2039453637508596480,5,4.99
2039453637508596480,6,4.74
2039453637508596480,7,4.83
2039453637508596480,8,5
2039453637508596480,9,4.86
2039453637508596480,10,5
2039453637508596480,11,4.98
2039453637508596480,12,4.56
2039453637508596480,13,4.95
2039453637508596480,14,5
2039453637508596480,15,4.98
205748308499465984,1,4.91
205748308499465984,2,5
205748308499465984,3,4.65
205748308499465984,4,4.27
205748308499465984,5,4.66
205748308499465984,6,4.92
205748308499465984,7,5
205748308499465984,8,4.9
