"Sim_N","Day","AVG_SF_per_Day"
1012126310881226368,1,4.31
1012126310881226368,2,4.75
1012126310881226368,3,4.17
1012126310881226368,4,4.33
1012126310881226368,5,3.02
1012126310881226368,6,1.24
1012126310881226368,7,0.93
1012126310881226368,8,1.49
1012126310881226368,9,2.12
1012126310881226368,10,1.45
1012126310881226368,11,0.82
1012126310881226368,12,1.04
1012126310881226368,13,1.84
1012126310881226368,14,1.27
1012126310881226368,15,3.96
109815385758749216,1,3.4
109815385758749216,2,1.5
109815385758749216,3,1.33
109815385758749216,4,1.63
109815385758749216,5,0.89
109815385758749216,6,0.99
109815385758749216,7,0.99
109815385758749216,8,1.06
109815385758749216,9,1.39
109815385758749216,10,1.22
109815385758749216,11,2.09
109815385758749216,12,2.31
109815385758749216,13,3.43
109815385758749216,14,1.81
109815385758749216,15,3.12
1154286928791174144,1,4.52
1154286928791174144,2,3.27
1154286928791174144,3,2.18
1154286928791174144,4,1.69
1154286928791174144,5,0.92
1154286928791174144,6,3.48
1154286928791174144,7,1.79
1154286928791174144,8,1.27
1154286928791174144,9,2.57
1154286928791174144,10,2.48
1154286928791174144,11,1.8
1154286928791174144,12,1.69
1154286928791174144,13,1.75
1154286928791174144,14,1.09
1154286928791174144,15,3.29
1200713477904804864,1,5
1200713477904804864,2,4.99
1200713477904804864,3,3.87
1200713477904804864,4,1.69
1200713477904804864,5,1.27
1200713477904804864,6,1.26
1200713477904804864,7,1.83
1200713477904804864,8,1.83
1200713477904804864,9,1.28
1200713477904804864,10,1.19
1200713477904804864,11,2.13
1200713477904804864,12,1.52
1200713477904804864,13,1.31
1200713477904804864,14,1.7
1200713477904804864,15,3.37
1263775757574265600,1,4.73
1263775757574265600,2,2.19
1263775757574265600,3,1.65
1263775757574265600,4,1.61
1263775757574265600,5,1.47
1263775757574265600,6,2.31
1263775757574265600,7,2.83
1263775757574265600,8,1.67
1263775757574265600,9,3.45
1263775757574265600,10,3.08
1263775757574265600,11,1.51
1263775757574265600,12,1.42
1263775757574265600,13,1.24
1263775757574265600,14,1.93
1263775757574265600,15,2.85
1300887804573623296,1,4.11
1300887804573623296,2,2.34
1300887804573623296,3,1.05
1300887804573623296,4,1.51
1300887804573623296,5,1.02
1300887804573623296,6,1.1
1300887804573623296,7,1.58
1300887804573623296,8,2.76
1300887804573623296,9,1.12
1300887804573623296,10,0.88
1300887804573623296,11,1.45
1300887804573623296,12,1.75
1300887804573623296,13,0.95
1300887804573623296,14,1.25
1300887804573623296,15,3.86
1320066938686900224,1,4.6
1320066938686900224,2,3.28
1320066938686900224,3,3.61
1320066938686900224,4,1.97
1320066938686900224,5,1.12
1320066938686900224,6,1.08
1320066938686900224,7,1.8
1320066938686900224,8,1.75
1320066938686900224,9,1.08
1320066938686900224,10,1.5
1320066938686900224,11,1.85
1320066938686900224,12,1.45
1320066938686900224,13,2.27
1320066938686900224,14,1.95
1320066938686900224,15,2.73
140099333392973312,1,4.12
140099333392973312,2,4.21
140099333392973312,3,2.54
140099333392973312,4,1.59
140099333392973312,5,1.06
140099333392973312,6,1.27
140099333392973312,7,1.32
140099333392973312,8,3.24
140099333392973312,9,2.08
140099333392973312,10,1.19
140099333392973312,11,1.45
140099333392973312,12,1.4
140099333392973312,13,0.95
140099333392973312,14,1.5
140099333392973312,15,2.53
145769878439927808,1,4.57
145769878439927808,2,4
145769878439927808,3,2.62
145769878439927808,4,2.01
145769878439927808,5,3.72
145769878439927808,6,3.51
145769878439927808,7,3.13
145769878439927808,8,1.14
145769878439927808,9,1.44
145769878439927808,10,1.34
145769878439927808,11,1.07
145769878439927808,12,1.76
145769878439927808,13,0.88
145769878439927808,14,1.18
145769878439927808,15,3.73
147907621636534272,1,4.53
147907621636534272,2,4.33
147907621636534272,3,4.01
147907621636534272,4,2.03
147907621636534272,5,1.15
147907621636534272,6,1.1
147907621636534272,7,1.03
147907621636534272,8,1.12
147907621636534272,9,1.76
147907621636534272,10,1.06
147907621636534272,11,2.81
147907621636534272,12,3.75
147907621636534272,13,1.08
147907621636534272,14,0.91
147907621636534272,15,2.72
1871677707714744832,1,3.4
1871677707714744832,2,2.07
1871677707714744832,3,2.16
1871677707714744832,4,4.44
1871677707714744832,5,3.9
1871677707714744832,6,2.06
1871677707714744832,7,1.23
1871677707714744832,8,1.84
1871677707714744832,9,2.85
1871677707714744832,10,1.22
1871677707714744832,11,1.93
1871677707714744832,12,2.55
1871677707714744832,13,2.04
1871677707714744832,14,1.43
1871677707714744832,15,2.28
2194308218548765440,1,4.97
2194308218548765440,2,4.36
2194308218548765440,3,2.23
2194308218548765440,4,1.52
2194308218548765440,5,2.17
2194308218548765440,6,1.3
2194308218548765440,7,1.46
2194308218548765440,8,1.76
2194308218548765440,9,1.51
2194308218548765440,10,0.97
2194308218548765440,11,1.38
2194308218548765440,12,1.48
2194308218548765440,13,2.02
